ST,Rape,Dowry Deaths,Assault on Women with Intent to Outrage her Modesty,Cruelty by Husband or his relatives,Insult to the Modesty of Women,Kidnapping and Abduction
Andhra Pradesh,1263,112,4444,7851,1892,589
Arunachal Pradesh,65,1,80,54,6,68
Assam,2173,156,4619,11943,385,6989
Bihar,840,1120,312,2397,11,9025
Chhattisgarh,1045,76,1316,732,232,2033
Goa,72,1,119,9,37,52
Gujarat,529,9,1048,3619,16,922
Haryana,1674,248,2581,4867,173,2803
Himachal Pradesh,364,4,498,228,72,337
Jammu & Kashmir,236,8,1440,347,15,893
Jharkhand,1650,299,1646,1426,7,1008
Karnataka,517,194,4937,2472,107,1056
Kerala,2074,8,4507,2970,435,227
Madhya Pradesh,2524,550,5585,5486,174,6091
Maharashtra,2303,196,10472,8430,1074,6906
Manipur,37,0,59,15,7,84
Meghalaya,118,3,96,23,18,71
Mizoram,42,0,35,5,0,2
Nagaland,8,0,8,0,1,13
Odisha,1533,342,11308,2739,536,3934
Punjab,1111,69,944,1595,35,1534
Rajasthan,7016,452,8802,18432,69,5907
Sikkim,14,0,21,1,2,0
Tamil Nadu,370,28,803,781,7,699
Telangana,915,163,4190,8541,695,1322
Tripura,97,38,153,451,5,138
Uttar Pradesh,3423,2410,11988,18304,42,11649
Uttarakhand,547,57,475,644,10,375
West Bengal,2013,444,3399,16951,391,4249
A & N Islands,13,0,25,1,3,0
Chandigarh,114,6,66,177,15,129
D&N Haveli,0,3,3,3,0,1
Daman & Diu,4,2,5,4,3,2
Delhi UT,1263,116,2355,3792,456,3672
Lakshadweep,0,0,5,0,8,0
Puducherry,10,0,23,8,0,0
