ST,Persons01,Male01,Females01,Persons06,Male06,Females06,Persons11,Male11,Females11,Persons16,Male16,Females16,Persons21,Male21,Females21
Andhra Pradesh,76210,38527,37683,80712,40677,40036,49577,24831,24747,51371,25710,25661,52787,26403,26384
Arunachal Pradesh,1098,580,518,1169,617,553,1384,714,670,1459,752,707,1533,789,745
Assam,26656,13777,12878,28665,14763,13902,31206,15939,15266,33168,16915,16253,35043,17843,17200
Bihar,82999,43244,39755,90752,47165,43586,104099,54278,49821,114176,59473,54703,123083,64012,59071
Chhattisgarh,20834,10474,10360,22594,11345,11249,25545,12833,12712,27571,13834,13738,29493,14794,14698
Goa,1348,687,660,1492,776,716,1458,739,719,1512,764,748,1559,786,773
Gujarat,50671,26386,24285,54979,28760,26220,60440,31491,28948,65158,34071,31087,69788,36600,33188
Haryana,21145,11364,9781,23314,12568,10746,25351,13495,11857,27455,14585,12870,29483,15623,13860
Himachal Pradesh,6078,3088,2990,6455,3289,3166,6865,3482,3383,7158,3631,3528,7394,3750,3644
Jammu & Kashmir,10144,5361,4783,10941,5756,5185,12267,6484,5783,12897,6789,6108,13408,7030,6378
Jharkhand,26946,13885,13061,29299,15088,14211,32988,16930,16058,35800,18361,17439,38471,19701,18770
Karnataka,52851,26899,25952,56258,28573,27685,61095,30967,30129,64229,32567,31661,66845,33911,32934
Kerala,31841,15469,16373,33265,16191,17074,33406,16027,17379,34578,16594,17984,35489,17043,18447
Madhya Pradesh,60348,31444,28904,66390,34617,31773,72627,37612,35015,78806,40737,38069,84516,43609,40907
Maharashtra,96879,50401,46478,104804,54623,50181,112660,58844,53816,118727,61649,57078,124437,64702,59735
Manipur,2167,1096,1071,2308,1165,1143,2856,1439,1417,3012,1515,1497,3165,1589,1575
Meghalaya,2319,1176,1143,2470,1251,1219,2967,1492,1475,3129,1571,1558,3288,1648,1640
Mizoram,889,459,429,946,488,458,1097,555,542,1157,585,572,1216,614,602
Nagaland,1990,1047,943,2119,1113,1006,1979,1025,954,2086,1079,1007,2192,1132,1060
Odisha,36805,18661,18144,38887,19692,19196,41974,21212,20762,43128,21341,21787,44033,21340,22693
Punjab,24359,12985,11374,26059,13956,12104,27743,14639,13104,29140,15347,13793,30339,15943,14395
Rajasthan,56507,29420,27087,62276,32466,29811,68548,35551,32997,74240,38350,35890,79281,40772,38509
Sikkim,541,288,252,576,307,269,611,323,288,644,340,304,677,357,320
Tamil Nadu,62406,31401,31005,65135,32730,32405,67444,33852,33592,74635,37342,37294,76402,38165,38237
Telangana,,,,,,,35004,17612,17392,36462,18346,18116,37725,18978,18747
Tripura,3199,1642,1557,3407,1746,1661,3674,1874,1800,3874,1974,1900,4071,2071,2000
Uttar Pradesh,166198,87565,78633,183282,96589,86693,199812,104481,95332,216087,112809,103278,230907,120344,110563
Uttarakhand,8489,4326,4163,9219,4699,4520,10086,5138,4949,10755,5496,5258,11399,5840,5560
West Bengal,80176,41466,38710,85216,43947,41268,91276,46809,44467,95079,48656,46423,98125,50095,48029
A & N Islands,356,193,163,419,231,188,381,203,178,392,208,184,400,211,189
Chandigarh,901,507,394,1103,632,471,1056,581,475,1136,620,516,1208,654,554
D & N Haveli,220,122,99,266,157,109,344,194,150,452,262,190,608,363,245
Daman & Diu,158,93,66,216,131,85,243,150,93,329,216,113,470,330,140
Delhi,13851,7607,6243,16021,8835,7186,16788,8987,7801,18677,9980,8697,20571,10963,9609
Lakshadweep,61,31,30,72,36,36,64,33,31,66,34,32,68,35,33
Puducherry,974,487,487,1098,551,547,1248,613,635,1402,680,722,1572,753,819
